N,Order,Solve Time,Num Variables,Num Binary Variables,Num Integer Variables,Num Constraints,Theta_m,Theta_p
6,3,0.11204791069030762,734.0,417.0,417.0,2260.0,0.0,11.686140350877196
6,4,0.11222929954528808,764.0,417.0,417.0,2584.0,0.0,14.331458333333416
6,5,0.12427372932434082,794.0,417.0,417.0,2908.0,0.0,18.664666666667635
6,6,0.14422712326049805,824.0,417.0,417.0,3232.0,0.0,18.665000000000447
7,3,0.9449992179870605,915.0,535.0,535.0,2859.0,0.0,13.869166666666665
7,4,0.8438836097717285,950.0,535.0,535.0,3265.0,0.0,17.794249999999998
7,5,0.737102460861206,985.0,535.0,535.0,3671.0,0.0,18.664666666666662
7,6,0.809425163269043,1020.0,535.0,535.0,4077.0,0.0,18.66500000000002
8,3,2.312346601486206,1114.0,667.0,667.0,3522.0,3.552713678800501e-15,15.618237259816937
8,4,1.730034875869751,1154.0,667.0,667.0,4018.0,0.0,17.794249999999984
8,5,1.7452699661254882,1194.0,667.0,667.0,4514.0,-7.105427357601002e-15,18.664666666666655
8,6,2.093090057373047,1234.0,667.0,667.0,5010.0,1.4210854715202004e-14,18.6650000000004
9,3,3.1916245460510253,1331.0,813.0,813.0,4249.0,0.0,15.698809523809551
9,4,2.7698708057403563,1376.0,813.0,813.0,4843.0,0.0,17.794250000000346
9,5,4.391291618347168,1421.0,813.0,813.0,5437.0,0.0,18.66466666666637
9,6,4.982934188842774,1466.0,813.0,813.0,6031.0,0.0,18.665000000000887
10,3,4.998797273635864,1566.0,973.0,973.0,5040.0,2.9156734154929644,15.747659917840775
10,4,5.3076441287994385,1616.0,973.0,973.0,5740.0,12.987499999984436,17.987499999984173
10,5,5.962874031066894,1666.0,973.0,973.0,6440.0,0.0,18.664666666666985
10,6,7.017055082321167,1716.0,973.0,973.0,7140.0,0.0,18.665
